fen,score
3r1rk1/5ppp/1p3n2/p3p3/3pP3/6P1/PR2KPBP/2R5 w - - 0 22,-101.0
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,-75.0
1k6/8/p3Bn1p/1p6/8/5P2/PP4PP/3K4 w - - 0 28,517.0
r2qk2r/p2nbppp/1pn1p3/2ppP3/3P1N2/2P2NP1/PP3PKP/R1BQ3R b kq - 2 11,-77.0
4r1k1/2rq1ppp/3b4/p1pP4/P3QPP1/BP2P3/7P/1R4RK w - - 1 29,52.0
rnbqkbnr/ppp2ppp/8/3pp3/3P4/4P3/PPP1NPPP/RNBQKB1R b KQkq - 0 3,23.0
4r1k1/p4qb1/2NpB2p/2pP2p1/p2p1p2/1P1Q4/4rP1P/5R1K b - - 1 37,645.0
8/8/1b1k1ppR/8/B7/P4K1P/4N1P1/8 b - - 0 39,-1021.0
r1b2rk1/ppQpqppp/2n5/3P4/4n3/2N3P1/PPP1N2P/2KR1B1R b - - 0 12,-68.0
r2qkb1r/pp3ppp/2n1pn2/3p4/3P2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq - 0 8,-11.0
r3kb1r/pp1n3p/1q2b1p1/2p2n2/3pNQ2/P2P1N1P/1P3PP1/R1B1KB1R b KQkq - 3 16,184.0
1k1r4/1pp5/p1n5/2P5/2R1R3/4p1r1/3b2P1/6K1 w - - 2 32,-1394.0
3rk3/pp4p1/8/8/NP5p/4P3/P2n1PPP/2RR3K w - - 0 28,785.0
r2qk2r/ppp1n1pp/2n2p2/4p3/2Pp2b1/3P1NP1/PP1NPPBP/R2QK2R w KQkq - 3 10,-47.0
r3kb1r/pp1b1pp1/2p1p3/4P2p/5P2/8/PPPBK1PP/4RB1R b kq - 2 12,-2.0
rnbqkbnr/ppp2ppp/3pp3/8/3P4/2P5/PP2PPPP/RNBQKBNR w KQkq - 0 3,76.0
8/pp2nk1p/2p3p1/5p2/2P3P1/1P1BP2P/P4P2/6K1 b - - 0 25,-209.0
r6r/pkp1n1pp/1p2p2P/4p3/4P3/2N5/PPP2PP1/2KR3R b - - 0 15,-134.0
r1b5/pp1p2k1/2p1p1p1/2q2BQp/2P4P/P1P2P2/K2R4/7R b - - 0 23,-316.0
r2q1rk1/ppp1bppp/2bp1n2/4p3/4P3/1P1P1NP1/PBPNQP1P/R3K2R w KQ - 3 11,-17.0
r3k2r/1p3pp1/p2p4/2p1pb2/7p/3P4/PPKNB1PP/7R w kq - 0 23,-569.0
7k/6p1/p4r1p/Pp2p3/3bP3/1B3P2/3R2KP/5R2 b - - 0 26,-535.0
k6r/1pb2pp1/p1n2n1p/4P3/4P3/1NP1B1P1/PP4BP/2KbR3 w - - 0 25,399.0
1r1qr1k1/p4pbp/1n4p1/2p5/5p2/2P2Q2/1P3PPP/3R1RK1 b - - 3 26,750.0
